4digit,cl
5,0.590976893901825
6,0.6132707595825195
7,0.5981580018997192
8,0.5836243033409119
9,0.5718253254890442
10,0.5655210018157959
11,0.560379683971405
12,0.5568661689758301
13,0.5538002848625183
14,0.5506430268287659
15,0.5468271374702454
16,0.5413531064987183
17,0.5337541699409485
18,0.5196746587753296
19,0.5052577257156372
20,0.49242961406707764
21,0.4781779646873474
22,0.46233931183815
23,0.4466160833835602
24,0.4293469190597534
25,0.4112173318862915
26,0.39389553666114807
27,0.371322900056839
28,0.3521481156349182
29,0.33346280455589294
30,0.31030765175819397
31,0.28464043140411377
32,0.2626466155052185
33,0.24347668886184692
34,0.22106148302555084
35,0.19577191770076752
36,0.16799846291542053
37,0.14017532765865326
38,0.11630044132471085
39,0.09568575769662857
40,0.07747294008731842
41,0.05604105070233345
42,0.033733490854501724
43,0.011492961086332798
205,0.590976893901825
206,0.6132707595825195
207,0.5981580018997192
208,0.5836243033409119
209,0.5718253254890442
210,0.5655210018157959
211,0.560379683971405
212,0.5568661689758301
213,0.5538002848625183
214,0.5506430268287659
215,0.5468271374702454
216,0.5413531064987183
217,0.5337541699409485
218,0.5196746587753296
219,0.5052577257156372
220,0.49242961406707764
221,0.4781779646873474
222,0.46233931183815
223,0.4466160833835602
224,0.4293469190597534
225,0.4112173318862915
226,0.39389553666114807
227,0.371322900056839
228,0.3521481156349182
229,0.33346280455589294
230,0.31030765175819397
231,0.28464043140411377
232,0.2626466155052185
233,0.24347668886184692
234,0.22106148302555084
235,0.19577191770076752
236,0.16799846291542053
237,0.14017532765865326
238,0.11630044132471085
239,0.09568575769662857
240,0.07747294008731842
241,0.05604105070233345
242,0.033733490854501724
243,0.011492961086332798
305,0.590976893901825
306,0.6132707595825195
307,0.5981580018997192
308,0.5836243033409119
309,0.5718253254890442
310,0.5655210018157959
311,0.560379683971405
312,0.5568661689758301
313,0.5538002848625183
314,0.5506430268287659
315,0.5468271374702454
316,0.5413531064987183
317,0.5337541699409485
318,0.5196746587753296
319,0.5052577257156372
320,0.49242961406707764
321,0.4781779646873474
322,0.46233931183815
323,0.4466160833835602
324,0.4293469190597534
325,0.4112173318862915
326,0.39389553666114807
327,0.371322900056839
328,0.3521481156349182
329,0.33346280455589294
330,0.31030765175819397
331,0.28464043140411377
332,0.2626466155052185
333,0.24347668886184692
334,0.22106148302555084
335,0.19577191770076752
336,0.16799846291542053
337,0.14017532765865326
338,0.11630044132471085
339,0.09568575769662857
340,0.07747294008731842
341,0.05604105070233345
342,0.033733490854501724
343,0.011492961086332798
405,0.590976893901825
406,0.6132707595825195
407,0.5981580018997192
408,0.5836243033409119
409,0.5718253254890442
410,0.5655210018157959
411,0.560379683971405
412,0.5568661689758301
413,0.5538002848625183
414,0.5506430268287659
415,0.5468271374702454
416,0.5413531064987183
417,0.5337541699409485
418,0.5196746587753296
419,0.5052577257156372
420,0.49242961406707764
421,0.4781779646873474
422,0.46233931183815
423,0.4466160833835602
424,0.4293469190597534
425,0.4112173318862915
426,0.39389553666114807
427,0.371322900056839
428,0.3521481156349182
429,0.33346280455589294
430,0.31030765175819397
431,0.28464043140411377
432,0.2626466155052185
433,0.24347668886184692
434,0.22106148302555084
435,0.19577191770076752
